127.0.0.1 - - [07/Jun/2018:09:48:47 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:48:48 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:52:49 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:52:55 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:09:57:08 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 478
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:06:05 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:07:05 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:07:05 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 200 1889648
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:07:22 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:07:22 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:30 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:30 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:42 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:42 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:43 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:43 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 200 1889648
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:08:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:09:07 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:09:07 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:09:10 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:09:18 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:23 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:23 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:26 +0900] "GET /Jun07_ChatClient/chatPage HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:11:49 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:59 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:00 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:25 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1143
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:42 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:42 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:47:45 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:47:46 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:02:08 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:02:08 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:04:41 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:05:44 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1563
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:06:39 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:07:33 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1553
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:13:52 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:13:53 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:15:11 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:16:29 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
172.16.1.253 - - [07/Jun/2018:11:17:18 +0900] "GET /Jun07_ChatClient/ HTTP/1.1" 200 1622
172.16.1.253 - - [07/Jun/2018:11:17:19 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 200 1889648
172.16.1.253 - - [07/Jun/2018:11:17:26 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:34:39 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 1672
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:34:39 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:34:39 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:55:11 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 2522
0:0:0:0:0:0:0:1 - - [07/Jun/2018:11:55:11 +0900] "GET /Jun07_ChatClient/jjan.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:16 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:16 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 200 1889648
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:19 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:19 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:50 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:01:50 +0900] "GET /Jun07_ChatClient/blackwidow.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:04:37 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [07/Jun/2018:12:08:07 +0900] "GET /Jun07_ChatClient/index.html HTTP/1.1" 304 -
